X,V1,V2,V3,V4,V5,V6,V7,V8,Crop
33,0.072959997,0.0595,0.051580001,0.041639999,0.169920005,0.00068,0.102200001,0.05373,Corn
35,0.080189999,0.068769999,0.064660002,0.06222,0.14728,0.00089,0.142020002,0.092829999,Corn
36,0.071879998,0.056460001,0.050340001,0.02635,0.303460002,0.00107,0.125299998,0.053640001,Winter Wheat
40,0.079120003,0.068360001,0.058800001,0.065860003,0.111740001,0.00098,0.131040007,0.094679996,Corn
42,0.07226,0.056699999,0.050159998,0.027039999,0.292640001,0.0009,0.126880005,0.055039998,Winter Wheat
44,0.075409997,0.06216,0.0581,0.041759999,0.185429998,0.0009,0.121770002,0.06453,Winter Wheat
45,0.074759997,0.062579997,0.05119,0.05013,0.114840001,0.00087,0.120440003,0.07883,Corn
46,0.073919997,0.06057,0.055550002,0.041440001,0.216770001,0.0008,0.110949997,0.054029999,Corn
47,0.07443,0.0601,0.05689,0.034739999,0.282779992,0.00096,0.131469995,0.062030001,Winter Wheat
48,0.072659999,0.058479998,0.052000001,0.033300001,0.253060013,0.00108,0.097159997,0.041540001,Winter Wheat
50,0.07322,0.058219999,0.05618,0.02912,0.340519994,0.00068,0.125780001,0.05328,Winter Wheat
51,0.073100001,0.057980001,0.054820001,0.027559999,0.356099993,0.00104,0.140440002,0.059579998,Winter Wheat
54,0.084109999,0.073410001,0.067249998,0.070020001,0.130989999,0.00096,0.156489998,0.12311,Winter Wheat
55,0.072520003,0.056960002,0.051860001,0.02634,0.336439997,0.00086,0.129339993,0.054359999,Winter Wheat
56,0.074340001,0.061829999,0.050480001,0.045940001,0.141180001,0.00082,0.11372,0.069090001,Corn
58,0.0735,0.060279999,0.051879998,0.040460002,0.197819993,0.00086,0.109420002,0.056639999,Corn
59,0.081409998,0.07045,0.067910001,0.068130001,0.135370001,0.00084,0.135990001,0.100540001,Corn
60,0.074159998,0.06112,0.0513,0.044089999,0.168980002,0.00086,0.113000002,0.06433,Corn
61,0.07846,0.0671,0.05982,0.05837,0.147500001,0.00086,0.16849,0.10825,Winter Wheat
62,0.07124,0.05645,0.047489999,0.030929999,0.225129999,0.00093,0.08695,0.03802,Corn
63,0.071079999,0.055580001,0.048160002,0.0265,0.215920001,0.00104,0.11992,0.05494,Winter Wheat
64,0.075519998,0.064030003,0.054410001,0.05253,0.135520004,0.00083,0.123160001,0.076280002,Corn
65,0.072479997,0.05675,0.051130001,0.02683,0.297849998,0.00101,0.128510006,0.055400001,Winter Wheat
66,0.072800003,0.059440002,0.051879998,0.041999999,0.178819999,0.00096,0.101460002,0.05404,Corn
67,0.072939999,0.059599999,0.047660001,0.038139999,0.195899993,0.00074,0.101400003,0.053180002,Corn
68,0.075960003,0.063000001,0.063479997,0.045839999,0.212359995,0.00104,0.131980002,0.066780001,Winter Wheat
70,0.0726,0.058970001,0.055720001,0.03898,0.199560001,0.00072,0.096190002,0.045119999,Corn
71,0.07638,0.065030001,0.060249999,0.056989999,0.120829999,0.00092,0.112539999,0.076730002,Corn
72,0.073709998,0.059360001,0.053710001,0.03417,0.257870004,0.00073,0.135090001,0.06332,Winter Wheat
73,0.073540002,0.059920002,0.05734,0.038539998,0.229300007,0.001,0.100319996,0.04558,Corn
75,0.07533,0.063519999,0.05243,0.05122,0.110659998,0.00077,0.11623,0.076370001,Corn
76,0.079849999,0.06893,0.059520001,0.06521,0.111420002,0.00091,0.161280006,0.11138,Winter Wheat
77,0.074000001,0.060860001,0.061140001,0.04152,0.225620002,0.00092,0.104479998,0.047940001,Corn
78,0.073559999,0.058359999,0.055179998,0.029379999,0.303319991,0.00078,0.135260001,0.058079999,Winter Wheat
79,0.073360004,0.05852,0.053800002,0.031500001,0.272159994,0.00084,0.134859994,0.06078,Winter Wheat
80,0.072719999,0.0592,0.055199999,0.038799999,0.210469998,0.00076,0.096000001,0.045090001,Corn
81,0.074469998,0.060940001,0.05762,0.04026,0.190409996,0.00092,0.110999998,0.05814,Winter Wheat
82,0.074840002,0.061079999,0.054099999,0.03898,0.207079999,0.0009,0.137010001,0.071049999,Winter Wheat
84,0.073600002,0.06044,0.057020001,0.03898,0.221479997,0.00084,0.104960002,0.049339999,Corn
85,0.071359999,0.056680001,0.048380001,0.03014,0.249540001,0.00077,0.09042,0.037359999,Corn
86,0.074960001,0.063139997,0.051860001,0.052919999,0.096900001,0.00072,0.121200003,0.0823,Corn
87,0.080140002,0.06955,0.0603,0.066770002,0.117389999,0.00091,0.170169994,0.116330002,Corn
88,0.08106,0.071160004,0.067740001,0.077420004,0.129339993,0.00072,0.130140007,0.093539998,Winter Wheat
89,0.071910001,0.057710001,0.05256,0.03349,0.250649989,0.00071,0.092829999,0.039410001,Corn
90,0.073830001,0.059280001,0.05498,0.033659998,0.25011,0.00081,0.12489,0.060700001,Winter Wheat
91,0.078679997,0.067049999,0.05721,0.063559998,0.113930002,0.00092,0.126049995,0.08233,Winter Wheat
92,0.072099999,0.05793,0.051860001,0.033159999,0.261229992,0.00076,0.100109998,0.04277,Corn
94,0.074500002,0.060180001,0.056559999,0.03506,0.262679994,0.00092,0.13538,0.066419996,Winter Wheat
95,0.072580002,0.058899999,0.053539999,0.037439998,0.220180005,0.00068,0.099320002,0.046020001,Corn
96,0.072939999,0.059760001,0.059,0.04152,0.211040005,0.0008,0.099579997,0.047660001,Corn
98,0.07418,0.061980002,0.05687,0.04903,0.162550002,0.00084,0.109419998,0.06189,Corn
103,0.074359998,0.0601,0.055500001,0.035980001,0.253340006,0.00102,0.130960003,0.061960001,Winter Wheat
104,0.07598,0.063689999,0.05493,0.05153,0.123860002,0.00075,0.115780003,0.072669998,Corn
105,0.080619998,0.069679998,0.060540002,0.066019997,0.102799997,0.00094,0.126320004,0.103739999,Corn
106,0.080109999,0.06873,0.05916,0.06315,0.11473,0.00081,0.146449998,0.108199999,Winter Wheat
107,0.075460002,0.063990001,0.05521,0.053229999,0.138520002,0.00069,0.12218,0.07629,Corn
111,0.072640002,0.057980001,0.05288,0.036899999,0.214699998,0.00064,0.096560001,0.043960001,Corn
112,0.072609998,0.05727,0.053820001,0.02654,0.378680006,0.00084,0.138240002,0.057459999,Winter Wheat
113,0.072099999,0.058340002,0.053780001,0.037859999,0.206540003,0.00096,0.098760001,0.046020001,Corn
114,0.07344,0.058419999,0.05412,0.03008,0.306499988,0.00096,0.129679993,0.05542,Winter Wheat
115,0.07375,0.05902,0.055089999,0.032699999,0.292279989,0.00093,0.129069999,0.05697,Winter Wheat
116,0.071060002,0.05658,0.045480002,0.031720001,0.20138,0.0008,0.083939999,0.038520001,Corn
117,0.074699998,0.061900001,0.05968,0.049660001,0.166800007,0.00074,0.110959999,0.059300002,Winter Wheat
120,0.071680002,0.057519998,0.052859999,0.03334,0.244609997,0.00076,0.09389,0.040129999,Corn
121,0.073229998,0.05783,0.054059999,0.02927,0.319440007,0.00092,0.124680001,0.05315,Winter Wheat
123,0.075280003,0.06377,0.05253,0.05298,0.107009999,0.00076,0.122279998,0.08351,Corn
125,0.07316,0.057999998,0.054079998,0.02808,0.34957999,0.00086,0.134859994,0.056600001,Winter Wheat
127,0.071399998,0.056709999,0.049240001,0.03173,0.22783,0.00078,0.087059997,0.037589999,Corn
128,0.079000004,0.066579998,0.06662,0.05094,0.209759995,0.00098,0.148939997,0.0836,Winter Wheat
129,0.071939997,0.057980001,0.052540001,0.03898,0.164920002,0.00076,0.086999997,0.042819999,Corn
130,0.071280003,0.056709999,0.048379999,0.03135,0.218790002,0.00086,0.083410002,0.036009999,Corn
132,0.074299999,0.060279999,0.061239999,0.036499999,0.256900012,0.00094,0.126540005,0.060139999,Corn
133,0.074350003,0.061489999,0.054649999,0.04273,0.193940006,0.00092,0.10763,0.056530001,Corn
135,0.072499998,0.058979999,0.049740002,0.042100001,0.179120004,0.00076,0.106399998,0.057599999,Corn
137,0.072999999,0.05948,0.052439999,0.037179999,0.232480004,0.00086,0.103780001,0.048080001,Corn
138,0.071719997,0.057360001,0.051460002,0.03176,0.254539996,0.00088,0.090360001,0.03788,Corn
142,0.072039999,0.057879999,0.04972,0.03638,0.223079994,0.00082,0.099780001,0.046980001,Corn
143,0.075319998,0.0634,0.052280001,0.051120002,0.114260003,0.00082,0.119779997,0.078380004,Corn
145,0.073770002,0.060059998,0.05659,0.03661,0.259769991,0.00091,0.10684,0.046320001,Corn
149,0.072059996,0.058419999,0.055840001,0.03774,0.209999993,0.00094,0.091980003,0.04174,Corn
150,0.072420001,0.056839999,0.05376,0.026179999,0.37650001,0.00102,0.127200007,0.05116,Corn
151,0.071220003,0.05687,0.04909,0.03045,0.24921,0.00082,0.093359999,0.03939,Corn
152,0.079289999,0.067220002,0.071719997,0.052169999,0.246240005,0.00084,0.144170001,0.075149998,Winter Wheat
153,0.073790003,0.06105,0.050179999,0.04355,0.181109995,0.00104,0.112580001,0.063869998,Corn
154,0.07508,0.06371,0.053380001,0.055190001,0.111880001,0.00098,0.128370002,0.086070001,Corn
160,0.081940003,0.071139999,0.070780002,0.064999998,0.180219993,0.00086,0.149959996,0.094140001,Winter Wheat
161,0.071800001,0.057709999,0.051509999,0.033769999,0.218520001,0.00086,0.089120001,0.03968,Corn
164,0.07982,0.068719998,0.05914,0.063660003,0.103660002,0.00098,0.121720001,0.087920003,Corn
166,0.072099999,0.058279999,0.052299999,0.0381,0.191740006,0.00074,0.093939997,0.045979999,Corn
167,0.07629,0.063169997,0.05704,0.04455,0.211010002,0.00099,0.149489999,0.082749996,Winter Wheat
168,0.072180003,0.05807,0.05085,0.03256,0.254979998,0.00072,0.098129999,0.041750001,Corn
169,0.07508,0.06329,0.05246,0.04957,0.139559999,0.00072,0.121300001,0.0748,Corn
172,0.076959997,0.063600004,0.050420001,0.050000001,0.07502,0.00056,0.094400004,0.07536,Winter Wheat
173,0.078079998,0.064740002,0.052499998,0.052280001,0.078039996,0.00056,0.097740002,0.078199998,Winter Wheat
174,0.071879998,0.057640001,0.0495,0.035500001,0.227019995,0.00078,0.098700002,0.04628,Corn
177,0.073119998,0.06006,0.063170001,0.051660001,0.204709999,0.00093,0.123340003,0.068539999,Corn
178,0.071999997,0.057799999,0.050099999,0.03204,0.259719998,0.0008,0.097580001,0.04166,Corn
179,0.073519997,0.058639999,0.054979999,0.031640001,0.301299989,0.00108,0.131200001,0.059319999,Winter Wheat
181,0.07378,0.061460001,0.06189,0.062400002,0.175240003,0.00104,0.123289999,0.076019999,Corn
182,0.074820001,0.061169999,0.05397,0.039270001,0.199749999,0.00099,0.11874,0.059040001,Winter Wheat
186,0.074919999,0.06082,0.057160001,0.03569,0.288120002,0.00082,0.138610005,0.062550001,Winter Wheat
187,0.07762,0.06504,0.058350001,0.051659999,0.185500003,0.001,0.156640001,0.096359998,Winter Wheat
188,0.074070003,0.06184,0.06373,0.067149997,0.174910001,0.00114,0.125289999,0.07621,Corn
192,0.071879998,0.05762,0.049520001,0.03238,0.238639995,0.00102,0.092699997,0.040259998,Corn
193,0.074660003,0.06182,0.05156,0.055039998,0.112939999,0.00092,0.121940002,0.084480003,Corn
194,0.074160002,0.061319999,0.060740001,0.043740001,0.226199999,0.00084,0.109240003,0.052680001,Winter Wheat
195,0.072280001,0.05852,0.051990001,0.036840001,0.210670002,0.00117,0.097479999,0.046839999,Corn
197,0.072480001,0.056899998,0.05438,0.026079999,0.378699988,0.00096,0.125699997,0.050319999,Corn
202,0.072080001,0.058060002,0.051959999,0.035399999,0.220259994,0.00094,0.094839998,0.043900002,Corn
203,0.085960001,0.07697,0.071380001,0.082199998,0.142859995,0.00088,0.195550002,0.141770005,Winter Wheat
204,0.07124,0.056639999,0.046939999,0.02994,0.231739998,0.00071,0.0858,0.03641,Corn
206,0.074899998,0.0634,0.054440001,0.05422,0.1307,0.0009,0.128469996,0.0821,Corn
207,0.075010002,0.062660001,0.055669999,0.047180001,0.175659999,0.00102,0.115049999,0.06325,Corn
208,0.073919997,0.06089,0.06002,0.04297,0.206859998,0.00073,0.105140001,0.05019,Corn
209,0.072190002,0.058300002,0.052209999,0.03671,0.210779995,0.00094,0.09406,0.04449,Corn
211,0.077320002,0.064580001,0.063220002,0.048780002,0.224160001,0.00086,0.125719994,0.066679999,Winter Wheat
213,0.079520002,0.067639999,0.062180001,0.055380002,0.168160006,0.00094,0.14982,0.092320003,Winter Wheat
215,0.073660001,0.061480001,0.055599999,0.05838,0.160919994,0.00088,0.12032,0.077440001,Corn
216,0.082650002,0.072760001,0.068050001,0.073619999,0.166370004,0.00099,0.199359998,0.130390003,Winter Wheat
218,0.072520003,0.057019999,0.05353,0.02697,0.376259997,0.00097,0.132780001,0.05546,Winter Wheat
219,0.072150003,0.05813,0.0525,0.03686,0.194870003,0.00099,0.09271,0.04501,Corn
221,0.073639996,0.060339998,0.056820001,0.044980001,0.193399996,0.00072,0.108740002,0.055599999,Corn
223,0.075479999,0.063349999,0.054169999,0.050079999,0.149429999,0.00094,0.116559997,0.070080001,Corn
225,0.072020002,0.057799999,0.05108,0.033879999,0.225759998,0.00086,0.091920003,0.041760001,Corn
227,0.074239999,0.06175,0.059080001,0.04614,0.173719995,0.00103,0.102460001,0.05394,Corn
229,0.072379999,0.05852,0.054559998,0.035859998,0.231900007,0.00078,0.10046,0.044939999,Corn
230,0.079519998,0.068129998,0.059559999,0.060549999,0.108629998,0.00072,0.12452,0.089260001,Winter Wheat
234,0.079400003,0.067380004,0.0568,0.059519999,0.088,0.00088,0.111699998,0.089419998,Winter Wheat
235,0.075240001,0.063040003,0.0537,0.049940001,0.131819993,0.00098,0.11806,0.073459998,Corn
237,0.071630001,0.05737,0.049489999,0.033980001,0.230459996,0.00095,0.092040002,0.041170001,Corn
238,0.071819998,0.057560001,0.04874,0.03218,0.235239998,0.00088,0.091739997,0.039900001,Corn
239,0.07254,0.058340002,0.052080002,0.034480002,0.253780007,0.0008,0.098300003,0.043159999,Corn
241,0.080700003,0.06978,0.060339998,0.066,0.09826,0.00102,0.123159997,0.098119996,Winter Wheat
247,0.082819998,0.074040003,0.06814,0.078299999,0.144240007,0.00114,0.201100007,0.130940005,Winter Wheat
249,0.073059998,0.057720002,0.053819999,0.02894,0.315919995,0.0009,0.13064,0.056139998,Winter Wheat
250,0.072949998,0.05909,0.055129999,0.035769999,0.247309998,0.00078,0.10187,0.04466,Corn
251,0.072499998,0.05697,0.054,0.02669,0.381779999,0.00098,0.133209996,0.05511,Winter Wheat
252,0.070880003,0.05604,0.047079999,0.02892,0.248300001,0.00088,0.087540001,0.036219999,Corn
253,0.072460003,0.05707,0.053679999,0.0265,0.371420011,0.001,0.136550002,0.056909999,Winter Wheat
254,0.07226,0.058119999,0.05016,0.03327,0.229010001,0.00076,0.09601,0.043099999,Corn
257,0.088089999,0.08255,0.084239997,0.097819999,0.18987,0.00107,0.193399996,0.127489999,Winter Wheat
258,0.072219998,0.05768,0.049600001,0.032919999,0.213719994,0.0008,0.089639999,0.04002,Corn
259,0.073639996,0.060079999,0.057700001,0.038059998,0.236919999,0.00076,0.10148,0.045219999,Corn
261,0.071759999,0.057560001,0.0495,0.035519999,0.188759997,0.00092,0.086860001,0.040959999,Corn
263,0.07288,0.05941,0.05542,0.039799999,0.20922,0.00092,0.10252,0.04905,Corn
264,0.071939997,0.057739999,0.052519999,0.03334,0.248720005,0.00086,0.094599999,0.040119998,Corn
267,0.075960003,0.0623,0.057720002,0.041000001,0.257279992,0.00088,0.143580005,0.073639996,Winter Wheat
268,0.07982,0.068180002,0.058139998,0.061039999,0.089740001,0.00084,0.114759997,0.092100002,Winter Wheat
270,0.073519997,0.058820002,0.055659998,0.031479999,0.32446,0.00092,0.133420005,0.057780001,Winter Wheat
271,0.073519997,0.059900001,0.057319999,0.038380001,0.2324,0.00102,0.105760001,0.04806,Corn
272,0.077300001,0.06495,0.06247,0.050719999,0.242069997,0.00065,0.128799997,0.068560001,Winter Wheat
273,0.081739999,0.070799999,0.063879997,0.065279998,0.126699999,0.001,0.152600005,0.112559997,Winter Wheat
274,0.07186,0.057580002,0.051460002,0.032019999,0.264479995,0.0008,0.094400004,0.039179999,Corn
277,0.082960002,0.073339999,0.066859998,0.07316,0.130459994,0.00096,0.193639994,0.134159997,Winter Wheat
278,0.075939998,0.06233,0.05656,0.04077,0.237599999,0.00086,0.139200002,0.071630001,Winter Wheat
280,0.072619997,0.058979999,0.05542,0.035500001,0.249259993,0.00078,0.100160003,0.04338,Corn
281,0.082879998,0.072999999,0.065899998,0.072959997,0.120279998,0.00086,0.165940002,0.12184,Winter Wheat
282,0.072319999,0.058279999,0.057500001,0.03418,0.261240005,0.0009,0.110440001,0.04614,Corn
284,0.075159997,0.06112,0.055860002,0.037140001,0.257759988,0.00084,0.129800007,0.062820002,Winter Wheat
286,0.073210001,0.059660001,0.05466,0.03695,0.228710003,0.00108,0.103149999,0.04737,Corn
288,0.073800001,0.059979999,0.058,0.03847,0.241130002,0.00074,0.106660001,0.04843,Corn
289,0.078649998,0.066539999,0.05697,0.06019,0.087340001,0.00081,0.110159997,0.086630002,Winter Wheat
290,0.072980002,0.059280001,0.055819999,0.038899999,0.225099996,0.0009,0.104199998,0.048859999,Corn
291,0.073970001,0.06092,0.060520001,0.04128,0.211740002,0.001,0.102029998,0.04861,Corn
292,0.073019996,0.059599999,0.0504,0.03816,0.220420003,0.00076,0.106080003,0.052820001,Corn
293,0.073430002,0.059970001,0.056699999,0.038579999,0.222479999,0.00095,0.10433,0.04833,Corn
298,0.073360004,0.059659999,0.05469,0.036590001,0.234839998,0.00084,0.101060003,0.044840001,Corn
300,0.072339997,0.057859998,0.05116,0.03252,0.270960003,0.00072,0.097199999,0.041299999,Corn
301,0.071389999,0.05714,0.050040001,0.032879999,0.21339,0.00077,0.08611,0.03798,Corn
302,0.072400004,0.057360001,0.05398,0.02846,0.275900006,0.00102,0.11908,0.0513,Corn
303,0.08162,0.070840001,0.064580001,0.066160001,0.13346,0.00108,0.162379995,0.116140001,Winter Wheat
304,0.07195,0.057859998,0.054779999,0.03719,0.20098,0.00098,0.090429999,0.04187,Corn
306,0.074219998,0.062109999,0.0507,0.04593,0.142920002,0.00107,0.11798,0.072009999,Corn
307,0.072450001,0.05871,0.058430001,0.035580002,0.250070006,0.00088,0.098309997,0.041900001,Corn
310,0.072439998,0.058460001,0.05342,0.035560001,0.242980003,0.00096,0.099519998,0.044160001,Corn
311,0.073600002,0.059360001,0.05246,0.0363,0.230839998,0.00074,0.103479996,0.047800001,Corn
313,0.0726,0.05878,0.054740001,0.03561,0.25017,0.00074,0.100099999,0.043980001,Corn
316,0.072619997,0.05906,0.05972,0.036769999,0.246890001,0.00086,0.098450001,0.042720001,Corn
317,0.073960003,0.06068,0.054719999,0.043649999,0.201360002,0.00097,0.111880001,0.059460001,Corn
318,0.074100003,0.061280001,0.057500001,0.04572,0.189459994,0.00086,0.112240002,0.059379999,Corn
319,0.072219998,0.058180001,0.055840001,0.035420001,0.251720011,0.00094,0.097879998,0.041719999,Corn
320,0.073820002,0.059640002,0.0537,0.034480002,0.208680004,0.0008,0.101800002,0.047940001,Winter Wheat
321,0.072679996,0.058899999,0.05508,0.035179999,0.25692001,0.00068,0.097900003,0.042440001,Corn
322,0.073720001,0.059459999,0.052680001,0.037840001,0.21988,0.00076,0.103840001,0.049380001,Corn
323,0.071699999,0.057080001,0.049400002,0.03052,0.267060012,0.0009,0.092660002,0.038539998,Corn
326,0.073660001,0.059220001,0.056580001,0.03355,0.227990001,0.0007,0.098360002,0.045289999,Winter Wheat
327,0.072959997,0.058940001,0.056019999,0.035399999,0.261500001,0.00096,0.101099998,0.043159999,Corn
328,0.073200002,0.05968,0.053929999,0.037589999,0.219250001,0.00078,0.101599999,0.047259999,Corn
329,0.071479999,0.057259999,0.0502,0.034260001,0.194650002,0.00084,0.087790001,0.040349999,Corn
331,0.077079996,0.063450001,0.05706,0.044739999,0.151579998,0.00082,0.106939998,0.064290002,Winter Wheat
332,0.07471,0.060730001,0.055229999,0.03805,0.194190003,0.0009,0.112180002,0.05541,Winter Wheat
335,0.0722,0.058180001,0.050379999,0.036320001,0.189219996,0.00084,0.092500001,0.044679999,Corn
337,0.085840002,0.076790001,0.071399998,0.079330001,0.13758,0.00104,0.194030002,0.1417,Winter Wheat
338,0.07807,0.066009998,0.060830001,0.05232,0.170469999,0.00096,0.144330002,0.08351,Winter Wheat
339,0.073239997,0.05797,0.053650001,0.02903,0.299720004,0.00104,0.141819999,0.062199999,Winter Wheat
340,0.07285,0.05865,0.0549,0.03514,0.259029999,0.00074,0.098529998,0.042709999,Corn
342,0.074259996,0.059630001,0.054159999,0.034289999,0.197969995,0.00094,0.093630001,0.046630001,Winter Wheat
343,0.072080001,0.057920001,0.052019998,0.033739999,0.2359,0.00084,0.09646,0.042920001,Corn
344,0.073919997,0.058800001,0.05542,0.02964,0.358480006,0.0009,0.136659995,0.058120001,Winter Wheat
345,0.072870001,0.059189999,0.052829999,0.03538,0.223639995,0.00087,0.096820001,0.043740001,Corn
346,0.072480001,0.058419999,0.051310001,0.03413,0.256479993,0.00092,0.099289998,0.044580001,Corn
352,0.072269998,0.057980001,0.04816,0.03187,0.244680002,0.00076,0.09186,0.03968,Corn
353,0.076220002,0.061759999,0.055879999,0.04012,0.166019998,0.00075,0.101259999,0.05783,Winter Wheat
354,0.077040002,0.064439997,0.05624,0.051959999,0.157299995,0.0011,0.155660003,0.087279998,Winter Wheat
357,0.075560004,0.062309999,0.057159999,0.04281,0.18434,0.0008,0.119830001,0.063100003,Winter Wheat
358,0.07801,0.06566,0.064120002,0.05119,0.234889999,0.00083,0.160959996,0.085450001,Winter Wheat
359,0.072349999,0.057739999,0.0526,0.033820001,0.223010004,0.00083,0.091159999,0.040129999,Corn
360,0.0801,0.067299999,0.054620001,0.05136,0.091399997,0.00092,0.106480002,0.076159999,Winter Wheat
361,0.071960002,0.057920001,0.053640001,0.034219999,0.252680004,0.00094,0.097240001,0.041700002,Corn
365,0.072920002,0.05965,0.059769999,0.04352,0.187190004,0.00096,0.100409999,0.05074,Corn
366,0.083700001,0.074020002,0.06766,0.07454,0.126010001,0.00107,0.199039996,0.143700004,Winter Wheat
368,0.07251,0.057570001,0.052060001,0.03008,0.251720011,0.0009,0.124200001,0.05539,Winter Wheat
369,0.079219997,0.068180002,0.061360002,0.0603,0.175520003,0.0009,0.171360001,0.104900002,Winter Wheat
371,0.07254,0.05858,0.050360002,0.033860002,0.232160002,0.0007,0.096000001,0.042580001,Corn
372,0.07254,0.058219999,0.05294,0.033980001,0.268379986,0.00076,0.100199997,0.042780001,Corn
373,0.072080001,0.057999998,0.051399998,0.034820002,0.230320007,0.00088,0.097779997,0.043439999,Corn
374,0.072390001,0.058629999,0.052919999,0.03685,0.214029998,0.0008,0.098830003,0.046490001,Corn
375,0.083270002,0.0735,0.066890001,0.073510002,0.12122,0.00114,0.19455,0.14085,Winter Wheat
376,0.074380003,0.061159998,0.052750001,0.044780001,0.148929998,0.00076,0.109560002,0.065550003,Corn
378,0.072489999,0.058260001,0.04917,0.032839999,0.238770001,0.00097,0.094810002,0.041420002,Corn
379,0.07265,0.05892,0.055049999,0.039249999,0.195349999,0.00086,0.096519999,0.046469999,Corn
380,0.07226,0.057529999,0.05116,0.0338,0.201750003,0.0009,0.08357,0.038930001,Winter Wheat
382,0.073649999,0.05988,0.053660002,0.04287,0.170929998,0.00074,0.101289999,0.05335,Corn
384,0.072700001,0.05876,0.051170001,0.034320001,0.22913,0.00084,0.096159998,0.042959999,Corn
385,0.071819998,0.056480002,0.05095,0.02669,0.327489987,0.00096,0.122850001,0.051779998,Winter Wheat
386,0.078160003,0.06566,0.06078,0.051800001,0.214560002,0.0009,0.156039998,0.091339998,Winter Wheat
387,0.072590001,0.058599999,0.050520001,0.034229999,0.225270003,0.00079,0.096069999,0.042880001,Corn
388,0.073339999,0.05813,0.055889999,0.02863,0.363509998,0.00087,0.139639996,0.05971,Winter Wheat
390,0.080419999,0.070560001,0.063279998,0.068750001,0.14971,0.00097,0.19895,0.125379998,Winter Wheat
392,0.075960003,0.063079998,0.05336,0.05108,0.126859993,0.00088,0.110880002,0.074859999,Corn
397,0.072360002,0.057599999,0.05308,0.02894,0.268860012,0.00106,0.092739999,0.03968,Winter Wheat
400,0.08348,0.073760003,0.066600002,0.076300003,0.134320006,0.00098,0.204099998,0.142240003,Winter Wheat
401,0.072659999,0.057570001,0.05074,0.02797,0.243919998,0.00087,0.08853,0.03844,Winter Wheat
403,0.071389999,0.056849999,0.050030001,0.03136,0.248369999,0.00079,0.090690002,0.038659999,Corn
404,0.072839998,0.059719998,0.050929999,0.043579999,0.179860003,0.0009,0.110939998,0.059350001,Corn
406,0.072839998,0.05776,0.050280001,0.028659999,0.236159995,0.00092,0.088600002,0.039620001,Winter Wheat
407,0.0713,0.05706,0.0513,0.033799998,0.22394,0.0008,0.091399997,0.040520001,Corn
408,0.074469998,0.06205,0.04999,0.04685,0.118240003,0.00076,0.114659999,0.073680002,Corn
409,0.073019996,0.059280001,0.05094,0.036559999,0.212219998,0.00084,0.09764,0.046379998,Corn
410,0.073420003,0.060079999,0.052220002,0.03954,0.184379995,0.00078,0.099679999,0.050639998,Corn
412,0.086340003,0.076700002,0.0678,0.076119997,0.122759998,0.00096,0.167799994,0.127619997,Corn
414,0.072099999,0.057939999,0.048319999,0.035999998,0.178599998,0.00072,0.091619998,0.045880001,Corn
416,0.073259998,0.059969999,0.053269999,0.03985,0.211889997,0.00099,0.107550003,0.053130001,Corn
419,0.0713,0.056919999,0.048599999,0.03184,0.215839997,0.00082,0.087200001,0.038679998,Corn
420,0.073199999,0.059699999,0.055670001,0.040029999,0.207079999,0.00071,0.10376,0.050349999,Corn
422,0.078900002,0.068099998,0.0594,0.064710002,0.113990001,0.00082,0.157990001,0.108600002,Winter Wheat
